DateTime,HalfHour,Consumption,Temperature
2012-01-01 00:00:00,0,58315.0,11.313
2012-01-01 00:30:00,1,58315.0,11.273
2012-01-01 01:00:00,2,56231.0,11.232
2012-01-01 01:30:00,3,56075.0,11.192
2012-01-01 02:00:00,4,55532.0,11.152
2012-01-01 02:30:00,5,54911.0,11.112
2012-01-01 03:00:00,6,52496.0,11.072
2012-01-01 03:30:00,7,50664.0,11.02
2012-01-01 04:00:00,8,49161.0,10.968
2012-01-01 04:30:00,9,47596.0,10.915
2012-01-01 05:00:00,10,46656.0,10.863
2012-01-01 05:30:00,11,46277.0,10.811
2012-01-01 06:00:00,12,45827.0,10.759
2012-01-01 06:30:00,13,45897.0,10.862
2012-01-01 07:00:00,14,45580.0,10.964
2012-01-01 07:30:00,15,45637.0,11.067
2012-01-01 08:00:00,16,45770.0,11.169
2012-01-01 08:30:00,17,45686.0,11.272
2012-01-01 09:00:00,18,45730.0,11.374
2012-01-01 09:30:00,19,46504.0,11.699
2012-01-01 10:00:00,20,47421.0,12.023
2012-01-01 10:30:00,21,48274.0,12.347
2012-01-01 11:00:00,22,49114.0,12.672
2012-01-01 11:30:00,23,50043.0,12.996
2012-01-01 12:00:00,24,50975.0,13.321
2012-01-01 12:30:00,25,52341.0,13.324
2012-01-01 13:00:00,26,53651.0,13.326
2012-01-01 13:30:00,27,52421.0,13.329
2012-01-01 14:00:00,28,51025.0,13.332
2012-01-01 14:30:00,29,50375.0,13.335
2012-01-01 15:00:00,30,49148.0,13.338
2012-01-01 15:30:00,31,48706.0,13.006
2012-01-01 16:00:00,32,48335.0,12.673
2012-01-01 16:30:00,33,48274.0,12.34
2012-01-01 17:00:00,34,49256.0,12.007
2012-01-01 17:30:00,35,51586.0,11.674
2012-01-01 18:00:00,36,54425.0,11.341
2012-01-01 18:30:00,37,56067.0,11.113
2012-01-01 19:00:00,38,57333.0,10.885
2012-01-01 19:30:00,39,57786.0,10.656
2012-01-01 20:00:00,40,57752.0,10.428
2012-01-01 20:30:00,41,56946.0,10.2
2012-01-01 21:00:00,42,56054.0,9.972
2012-01-01 21:30:00,43,54975.0,9.907
2012-01-01 22:00:00,44,53890.0,9.843
2012-01-01 22:30:00,45,54348.0,9.778
2012-01-01 23:00:00,46,56577.0,9.714
2012-01-01 23:30:00,47,55634.0,9.649
2012-01-02 00:00:00,0,55164.0,9.585
2012-01-02 00:30:00,1,53643.0,9.531
2012-01-02 01:00:00,2,51404.0,9.477
2012-01-02 01:30:00,3,50842.0,9.423
2012-01-02 02:00:00,4,50399.0,9.369
2012-01-02 02:30:00,5,50113.0,9.315
2012-01-02 03:00:00,6,48201.0,9.262
2012-01-02 03:30:00,7,47182.0,9.204
2012-01-02 04:00:00,8,46306.0,9.147
2012-01-02 04:30:00,9,46294.0,9.09
2012-01-02 05:00:00,10,46692.0,9.032
2012-01-02 05:30:00,11,48092.0,8.975
2012-01-02 06:00:00,12,49460.0,8.918
2012-01-02 06:30:00,13,52118.0,8.847
2012-01-02 07:00:00,14,53970.0,8.776
2012-01-02 07:30:00,15,56592.0,8.705
2012-01-02 08:00:00,16,58593.0,8.634
2012-01-02 08:30:00,17,60350.0,8.563
2012-01-02 09:00:00,18,61001.0,8.492
2012-01-02 09:30:00,19,62254.0,8.588
2012-01-02 10:00:00,20,63127.0,8.684
2012-01-02 10:30:00,21,64130.0,8.779
2012-01-02 11:00:00,22,64766.0,8.875
2012-01-02 11:30:00,23,65816.0,8.971
2012-01-02 12:00:00,24,66515.0,9.067
2012-01-02 12:30:00,25,66996.0,8.979
2012-01-02 13:00:00,26,67682.0,8.892
2012-01-02 13:30:00,27,66640.0,8.805
2012-01-02 14:00:00,28,66105.0,8.718
2012-01-02 14:30:00,29,65917.0,8.631
2012-01-02 15:00:00,30,64500.0,8.544
2012-01-02 15:30:00,31,63789.0,8.249
2012-01-02 16:00:00,32,63348.0,7.954
2012-01-02 16:30:00,33,63469.0,7.659
2012-01-02 17:00:00,34,64318.0,7.364
2012-01-02 17:30:00,35,67139.0,7.069
2012-01-02 18:00:00,36,70548.0,6.774
2012-01-02 18:30:00,37,71949.0,6.677
2012-01-02 19:00:00,38,73263.0,6.579
2012-01-02 19:30:00,39,72615.0,6.482
2012-01-02 20:00:00,40,71079.0,6.385
2012-01-02 20:30:00,41,69050.0,6.287
2012-01-02 21:00:00,42,67435.0,6.19
2012-01-02 21:30:00,43,65332.0,6.192
2012-01-02 22:00:00,44,63756.0,6.194
2012-01-02 22:30:00,45,64030.0,6.196
2012-01-02 23:00:00,46,65929.0,6.198
2012-01-02 23:30:00,47,64902.0,6.2
2012-01-03 00:00:00,0,64600.0,6.203
2012-01-03 00:30:00,1,63033.0,6.181
2012-01-03 01:00:00,2,60533.0,6.16
2012-01-03 01:30:00,3,60426.0,6.138
2012-01-03 02:00:00,4,60104.0,6.117
2012-01-03 02:30:00,5,59861.0,6.096
2012-01-03 03:00:00,6,57915.0,6.074
2012-01-03 03:30:00,7,56691.0,6.121
2012-01-03 04:00:00,8,55743.0,6.167
2012-01-03 04:30:00,9,55656.0,6.213
2012-01-03 05:00:00,10,55974.0,6.259
2012-01-03 05:30:00,11,57846.0,6.305
2012-01-03 06:00:00,12,59861.0,6.351
2012-01-03 06:30:00,13,63824.0,6.621
2012-01-03 07:00:00,14,67316.0,6.891
2012-01-03 07:30:00,15,70887.0,7.16
2012-01-03 08:00:00,16,72996.0,7.43
2012-01-03 08:30:00,17,73374.0,7.7
2012-01-03 09:00:00,18,73224.0,7.969
2012-01-03 09:30:00,19,73227.0,8.445
2012-01-03 10:00:00,20,73197.0,8.921
2012-01-03 10:30:00,21,73183.0,9.396
2012-01-03 11:00:00,22,72723.0,9.872
2012-01-03 11:30:00,23,73156.0,10.347
2012-01-03 12:00:00,24,73534.0,10.823
2012-01-03 12:30:00,25,72610.0,10.905
2012-01-03 13:00:00,26,72920.0,10.986
2012-01-03 13:30:00,27,71871.0,11.068
2012-01-03 14:00:00,28,71404.0,11.15
2012-01-03 14:30:00,29,71332.0,11.231
2012-01-03 15:00:00,30,69849.0,11.313
2012-01-03 15:30:00,31,69383.0,11.033
2012-01-03 16:00:00,32,68904.0,10.752
2012-01-03 16:30:00,33,68687.0,10.472
2012-01-03 17:00:00,34,69380.0,10.192
2012-01-03 17:30:00,35,71878.0,9.911
2012-01-03 18:00:00,36,74505.0,9.631
2012-01-03 18:30:00,37,75611.0,9.501
2012-01-03 19:00:00,38,76698.0,9.372
2012-01-03 19:30:00,39,75660.0,9.242
2012-01-03 20:00:00,40,73535.0,9.113
